DIS_LOSS_REAL: 1.3403697014, DIS_LOSS_FAKE: 0.2278226912, TOTAL: 0.7840961962925, GEN_LOSS_BATCH: 1.7386040688
DIS_LOSS_REAL: 1.0924611092, DIS_LOSS_FAKE: 0.2500755191, TOTAL: 0.6712683141304999, GEN_LOSS_BATCH: 1.5719403028
DIS_LOSS_REAL: 1.047170639, DIS_LOSS_FAKE: 0.1603698134, TOTAL: 0.603770226219, GEN_LOSS_BATCH: 2.2751464844
DIS_LOSS_REAL: 0.7923322916, DIS_LOSS_FAKE: 0.3107839227, TOTAL: 0.5515581071515, GEN_LOSS_BATCH: 1.387873292
DIS_LOSS_REAL: 0.9549221396, DIS_LOSS_FAKE: 0.2695871592, TOTAL: 0.6122546494225, GEN_LOSS_BATCH: 1.5038238764
DIS_LOSS_REAL: 0.5529255271, DIS_LOSS_FAKE: 0.318844229, TOTAL: 0.43588487804799997, GEN_LOSS_BATCH: 1.3951349258
DIS_LOSS_REAL: 0.8293185234, DIS_LOSS_FAKE: 0.2198922336, TOTAL: 0.5246053785035, GEN_LOSS_BATCH: 1.7349078655
DIS_LOSS_REAL: 0.4720180035, DIS_LOSS_FAKE: 0.5307993293, TOTAL: 0.501408666382, GEN_LOSS_BATCH: 0.9583208561
DIS_LOSS_REAL: 0.8205989003, DIS_LOSS_FAKE: 0.164077431, TOTAL: 0.492338165659, GEN_LOSS_BATCH: 2.0420751572
DIS_LOSS_REAL: 1.1627812386, DIS_LOSS_FAKE: 0.0285901483, TOTAL: 0.5956856934279999, GEN_LOSS_BATCH: 3.8012025356
DIS_LOSS_REAL: 1.0478928089, DIS_LOSS_FAKE: 0.2206787169, TOTAL: 0.634285762907, GEN_LOSS_BATCH: 1.7089543343
DIS_LOSS_REAL: 1.0201485157, DIS_LOSS_FAKE: 0.1628400534, TOTAL: 0.5914942845505, GEN_LOSS_BATCH: 2.3773975372
DIS_LOSS_REAL: 1.1978054047, DIS_LOSS_FAKE: 0.1366523057, TOTAL: 0.6672288551815, GEN_LOSS_BATCH: 2.2327399254
DIS_LOSS_REAL: 1.3710240126, DIS_LOSS_FAKE: 0.078519173, TOTAL: 0.7247715927830001, GEN_LOSS_BATCH: 2.9050297737
DIS_LOSS_REAL: 1.2596561909, DIS_LOSS_FAKE: 0.1515460163, TOTAL: 0.705601103586, GEN_LOSS_BATCH: 2.1412956715
DIS_LOSS_REAL: 1.1943972111, DIS_LOSS_FAKE: 0.1675780118, TOTAL: 0.6809876114375001, GEN_LOSS_BATCH: 2.0196647644
DIS_LOSS_REAL: 1.2207430601, DIS_LOSS_FAKE: 0.1920498013, TOTAL: 0.706396430706, GEN_LOSS_BATCH: 1.8805570602
DIS_LOSS_REAL: 0.7535803318, DIS_LOSS_FAKE: 0.2922033668, TOTAL: 0.522891849301, GEN_LOSS_BATCH: 1.5973379612
DIS_LOSS_REAL: 0.3791213632, DIS_LOSS_FAKE: 0.633531034, TOTAL: 0.5063261985815, GEN_LOSS_BATCH: 0.9104939103
DIS_LOSS_REAL: 1.8556426764, DIS_LOSS_FAKE: 0.1479113251, TOTAL: 1.0017770007265, GEN_LOSS_BATCH: 3.123311758
DIS_LOSS_REAL: 1.5817184448, DIS_LOSS_FAKE: 0.1224270314, TOTAL: 0.852072738112, GEN_LOSS_BATCH: 2.4183514118
DIS_LOSS_REAL: 0.8762850761, DIS_LOSS_FAKE: 0.2490906268, TOTAL: 0.5626878514705, GEN_LOSS_BATCH: 1.7392458916
DIS_LOSS_REAL: 1.2147119045, DIS_LOSS_FAKE: 0.1411628723, TOTAL: 0.677937388413, GEN_LOSS_BATCH: 2.2267155647
DIS_LOSS_REAL: 1.2031519413, DIS_LOSS_FAKE: 0.145206064, TOTAL: 0.6741790026494999, GEN_LOSS_BATCH: 2.1587820053
DIS_LOSS_REAL: 1.3269966841, DIS_LOSS_FAKE: 0.0640495569, TOTAL: 0.6955231204869999, GEN_LOSS_BATCH: 2.9850614071
DIS_LOSS_REAL: 1.1093591452, DIS_LOSS_FAKE: 0.0865928531, TOTAL: 0.597975999132, GEN_LOSS_BATCH: 2.7722296715
DIS_LOSS_REAL: 1.1349812746, DIS_LOSS_FAKE: 0.1851792932, TOTAL: 0.6600802839025001, GEN_LOSS_BATCH: 1.9450246096
DIS_LOSS_REAL: 0.8771808147, DIS_LOSS_FAKE: 0.2246376574, TOTAL: 0.5509092360715, GEN_LOSS_BATCH: 1.829143405
DIS_LOSS_REAL: 0.8265789151, DIS_LOSS_FAKE: 0.2314518988, TOTAL: 0.5290154069595, GEN_LOSS_BATCH: 1.7817378044
DIS_LOSS_REAL: 0.8265914917, DIS_LOSS_FAKE: 0.2807979286, TOTAL: 0.5536947101495, GEN_LOSS_BATCH: 1.5327630043
