DIS_LOSS_BATCH: 0.60349684115, GEN_LOSS_BATCH: 1.497538805
DIS_LOSS_BATCH: 0.3561570048, GEN_LOSS_BATCH: 3.5905356407
DIS_LOSS_BATCH: 0.2649712563, GEN_LOSS_BATCH: 1.6708009243
DIS_LOSS_BATCH: 0.32193623485, GEN_LOSS_BATCH: 1.8427712917
DIS_LOSS_BATCH: 1.13295553625, GEN_LOSS_BATCH: 2.7595653534
DIS_LOSS_BATCH: 0.50943824645, GEN_LOSS_BATCH: 2.1611535549
DIS_LOSS_BATCH: 0.5118550509, GEN_LOSS_BATCH: 1.6509459019
DIS_LOSS_BATCH: 0.58699223395, GEN_LOSS_BATCH: 0.9417832494
DIS_LOSS_BATCH: 1.1138614118, GEN_LOSS_BATCH: 1.6385751963
DIS_LOSS_BATCH: 0.53990641235, GEN_LOSS_BATCH: 0.9163505435
DIS_LOSS_BATCH: 0.594310239, GEN_LOSS_BATCH: 0.7018378973
DIS_LOSS_BATCH: 0.528777197, GEN_LOSS_BATCH: 1.9545447826
DIS_LOSS_BATCH: 0.5012407302999999, GEN_LOSS_BATCH: 1.4244842529
DIS_LOSS_BATCH: 0.3926863372, GEN_LOSS_BATCH: 1.929410696
DIS_LOSS_BATCH: 0.89257897855, GEN_LOSS_BATCH: 7.0471777916
DIS_LOSS_BATCH: 0.56825315955, GEN_LOSS_BATCH: 1.6412485838
DIS_LOSS_BATCH: 0.5179962813500001, GEN_LOSS_BATCH: 1.6592121124
DIS_LOSS_BATCH: 0.5394860208, GEN_LOSS_BATCH: 1.7429699898
DIS_LOSS_BATCH: 0.6126135587499999, GEN_LOSS_BATCH: 1.014564395
DIS_LOSS_BATCH: 0.54727610945, GEN_LOSS_BATCH: 1.3770135641
DIS_LOSS_BATCH: 0.6407894194, GEN_LOSS_BATCH: 1.8493270874
DIS_LOSS_BATCH: 0.5578098893, GEN_LOSS_BATCH: 1.2985289097
DIS_LOSS_BATCH: 0.5010177791, GEN_LOSS_BATCH: 1.3386980295
DIS_LOSS_BATCH: 0.76695399735, GEN_LOSS_BATCH: 1.0969313383
DIS_LOSS_BATCH: 0.9567317218, GEN_LOSS_BATCH: 2.0711584091
DIS_LOSS_BATCH: 0.5306175947, GEN_LOSS_BATCH: 1.0858529806
DIS_LOSS_BATCH: 0.5818012953, GEN_LOSS_BATCH: 1.2334411144
DIS_LOSS_BATCH: 0.56295818835, GEN_LOSS_BATCH: 1.8313605785
DIS_LOSS_BATCH: 0.7857060432499999, GEN_LOSS_BATCH: 2.135705471
DIS_LOSS_BATCH: 0.7060656249499999, GEN_LOSS_BATCH: 1.665320158
DIS_LOSS_BATCH: 0.73833485695, GEN_LOSS_BATCH: 2.405821085
DIS_LOSS_BATCH: 0.5162141621, GEN_LOSS_BATCH: 1.5116358995
DIS_LOSS_BATCH: 0.6502234339999999, GEN_LOSS_BATCH: 1.8949568272
DIS_LOSS_BATCH: 0.5674652457, GEN_LOSS_BATCH: 1.3668580055
DIS_LOSS_BATCH: 0.75147923825, GEN_LOSS_BATCH: 2.4158654213
DIS_LOSS_BATCH: 0.62759044765, GEN_LOSS_BATCH: 1.5870453119
DIS_LOSS_BATCH: 0.55645668505, GEN_LOSS_BATCH: 1.6141700745
DIS_LOSS_BATCH: 0.5543508082499999, GEN_LOSS_BATCH: 1.5602645874
DIS_LOSS_BATCH: 0.6403003186, GEN_LOSS_BATCH: 1.909591198
DIS_LOSS_BATCH: 0.5944271237, GEN_LOSS_BATCH: 1.5851089954
DIS_LOSS_BATCH: 0.54275891185, GEN_LOSS_BATCH: 1.3826928139
DIS_LOSS_BATCH: 0.5494245887, GEN_LOSS_BATCH: 1.6417263746
DIS_LOSS_BATCH: 0.6902715862, GEN_LOSS_BATCH: 1.6259465218
DIS_LOSS_BATCH: 0.58617086705, GEN_LOSS_BATCH: 1.7014433146
DIS_LOSS_BATCH: 0.7015938163, GEN_LOSS_BATCH: 1.1720347404
DIS_LOSS_BATCH: 0.62940506635, GEN_LOSS_BATCH: 1.4388531446
DIS_LOSS_BATCH: 0.5776492357, GEN_LOSS_BATCH: 1.3604253531
DIS_LOSS_BATCH: 0.7572225928, GEN_LOSS_BATCH: 1.2888582945
DIS_LOSS_BATCH: 0.686533466, GEN_LOSS_BATCH: 1.6781951189
DIS_LOSS_BATCH: 0.8236320317, GEN_LOSS_BATCH: 1.9879491329
DIS_LOSS_BATCH: 0.50849658255, GEN_LOSS_BATCH: 1.5137312412
DIS_LOSS_BATCH: 0.5711145252, GEN_LOSS_BATCH: 1.3416042328
DIS_LOSS_BATCH: 0.6370812058499999, GEN_LOSS_BATCH: 1.3911190033
DIS_LOSS_BATCH: 1.2125573754499999, GEN_LOSS_BATCH: 1.8243461847
DIS_LOSS_BATCH: 0.7120726853499999, GEN_LOSS_BATCH: 1.7298605442
